rewire_id,label_pred
sexism2022_english-10731,2. derogation
sexism2022_english-7356,3. animosity
sexism2022_english-13064,4. prejudiced discussions
sexism2022_english-17039,2. derogation
sexism2022_english-14482,2. derogation
sexism2022_english-4534,4. prejudiced discussions
sexism2022_english-16548,2. derogation
sexism2022_english-19332,2. derogation
sexism2022_english-8173,3. animosity
sexism2022_english-18056,2. derogation
sexism2022_english-19528,"1. threats, plans to harm and incitement"
sexism2022_english-13452,"1. threats, plans to harm and incitement"
sexism2022_english-7156,3. animosity
sexism2022_english-13880,2. derogation
sexism2022_english-7266,3. animosity
sexism2022_english-5073,2. derogation
sexism2022_english-2412,2. derogation
sexism2022_english-19933,3. animosity
sexism2022_english-15876,2. derogation
sexism2022_english-11821,2. derogation
sexism2022_english-16870,4. prejudiced discussions
sexism2022_english-18872,3. animosity
sexism2022_english-15076,2. derogation
sexism2022_english-1736,2. derogation
sexism2022_english-3791,2. derogation
sexism2022_english-5206,2. derogation
sexism2022_english-13678,2. derogation
sexism2022_english-2115,2. derogation
sexism2022_english-15999,2. derogation
sexism2022_english-3267,3. animosity
sexism2022_english-18079,2. derogation
sexism2022_english-6014,2. derogation
sexism2022_english-15730,4. prejudiced discussions
sexism2022_english-17495,3. animosity
sexism2022_english-13970,2. derogation
sexism2022_english-10369,2. derogation
sexism2022_english-1868,3. animosity
sexism2022_english-10155,2. derogation
sexism2022_english-9835,3. animosity
sexism2022_english-14485,2. derogation
sexism2022_english-15195,3. animosity
sexism2022_english-17171,2. derogation
sexism2022_english-3316,2. derogation
sexism2022_english-8426,2. derogation
sexism2022_english-8451,2. derogation
sexism2022_english-2217,3. animosity
sexism2022_english-12298,2. derogation
sexism2022_english-18766,2. derogation
sexism2022_english-8340,"1. threats, plans to harm and incitement"
sexism2022_english-6173,3. animosity
sexism2022_english-19442,2. derogation
sexism2022_english-4717,2. derogation
sexism2022_english-1938,2. derogation
sexism2022_english-6033,2. derogation
sexism2022_english-431,4. prejudiced discussions
sexism2022_english-6107,4. prejudiced discussions
sexism2022_english-10341,2. derogation
sexism2022_english-16708,2. derogation
sexism2022_english-3853,2. derogation
sexism2022_english-4221,2. derogation
sexism2022_english-3131,2. derogation
sexism2022_english-7359,2. derogation
sexism2022_english-5864,4. prejudiced discussions
sexism2022_english-10176,2. derogation
sexism2022_english-10268,2. derogation
sexism2022_english-6264,2. derogation
sexism2022_english-4119,2. derogation
sexism2022_english-15247,2. derogation
sexism2022_english-2790,3. animosity
sexism2022_english-18294,"1. threats, plans to harm and incitement"
sexism2022_english-16844,2. derogation
sexism2022_english-19404,3. animosity
sexism2022_english-16545,2. derogation
sexism2022_english-19501,2. derogation
sexism2022_english-7028,2. derogation
sexism2022_english-19907,2. derogation
sexism2022_english-13186,2. derogation
sexism2022_english-6808,2. derogation
sexism2022_english-5191,2. derogation
sexism2022_english-10538,3. animosity
sexism2022_english-12554,2. derogation
sexism2022_english-17889,4. prejudiced discussions
sexism2022_english-9809,"1. threats, plans to harm and incitement"
sexism2022_english-4156,2. derogation
sexism2022_english-8690,2. derogation
sexism2022_english-11041,3. animosity
sexism2022_english-13053,2. derogation
sexism2022_english-2411,2. derogation
sexism2022_english-11181,2. derogation
sexism2022_english-2524,2. derogation
sexism2022_english-12276,2. derogation
sexism2022_english-16881,"1. threats, plans to harm and incitement"
sexism2022_english-7647,2. derogation
sexism2022_english-10488,2. derogation
sexism2022_english-4605,2. derogation
sexism2022_english-8575,3. animosity
sexism2022_english-3755,2. derogation
sexism2022_english-12277,2. derogation
sexism2022_english-6906,3. animosity
sexism2022_english-1178,2. derogation
sexism2022_english-1958,2. derogation
sexism2022_english-1661,2. derogation
sexism2022_english-13369,3. animosity
sexism2022_english-19449,2. derogation
sexism2022_english-14366,2. derogation
sexism2022_english-9931,2. derogation
sexism2022_english-9907,2. derogation
sexism2022_english-18325,3. animosity
sexism2022_english-328,3. animosity
sexism2022_english-7019,3. animosity
sexism2022_english-874,4. prejudiced discussions
sexism2022_english-18249,3. animosity
sexism2022_english-146,4. prejudiced discussions
sexism2022_english-16697,2. derogation
sexism2022_english-19989,2. derogation
sexism2022_english-18922,2. derogation
sexism2022_english-14369,3. animosity
sexism2022_english-18057,3. animosity
sexism2022_english-6237,2. derogation
sexism2022_english-3208,2. derogation
sexism2022_english-1455,2. derogation
sexism2022_english-7972,2. derogation
sexism2022_english-5318,2. derogation
sexism2022_english-9561,2. derogation
sexism2022_english-13810,2. derogation
sexism2022_english-13808,4. prejudiced discussions
sexism2022_english-1611,2. derogation
sexism2022_english-16341,3. animosity
sexism2022_english-5023,2. derogation
sexism2022_english-19869,2. derogation
sexism2022_english-2831,4. prejudiced discussions
sexism2022_english-8995,2. derogation
sexism2022_english-19305,3. animosity
sexism2022_english-1665,2. derogation
sexism2022_english-8218,3. animosity
sexism2022_english-625,2. derogation
sexism2022_english-18808,2. derogation
sexism2022_english-10846,3. animosity
sexism2022_english-1749,2. derogation
sexism2022_english-14991,2. derogation
sexism2022_english-7118,4. prejudiced discussions
sexism2022_english-18058,3. animosity
sexism2022_english-8452,2. derogation
sexism2022_english-16478,2. derogation
sexism2022_english-19842,2. derogation
sexism2022_english-16667,2. derogation
sexism2022_english-5368,2. derogation
sexism2022_english-12588,2. derogation
sexism2022_english-5842,"1. threats, plans to harm and incitement"
sexism2022_english-17442,2. derogation
sexism2022_english-16890,3. animosity
sexism2022_english-7093,2. derogation
sexism2022_english-13767,3. animosity
sexism2022_english-6934,4. prejudiced discussions
sexism2022_english-11626,"1. threats, plans to harm and incitement"
sexism2022_english-9998,2. derogation
sexism2022_english-7239,"1. threats, plans to harm and incitement"
sexism2022_english-7937,2. derogation
sexism2022_english-8536,"1. threats, plans to harm and incitement"
sexism2022_english-17782,2. derogation
sexism2022_english-6369,4. prejudiced discussions
sexism2022_english-14511,"1. threats, plans to harm and incitement"
sexism2022_english-7153,2. derogation
sexism2022_english-2659,3. animosity
sexism2022_english-19218,2. derogation
sexism2022_english-7606,2. derogation
sexism2022_english-7438,3. animosity
sexism2022_english-1268,3. animosity
sexism2022_english-5669,3. animosity
sexism2022_english-10042,2. derogation
sexism2022_english-3180,2. derogation
sexism2022_english-19443,"1. threats, plans to harm and incitement"
sexism2022_english-2113,2. derogation
sexism2022_english-2223,3. animosity
sexism2022_english-6275,2. derogation
sexism2022_english-2490,2. derogation
sexism2022_english-19987,2. derogation
sexism2022_english-19824,2. derogation
sexism2022_english-5928,2. derogation
sexism2022_english-3950,3. animosity
sexism2022_english-9568,4. prejudiced discussions
sexism2022_english-9415,3. animosity
sexism2022_english-12336,2. derogation
sexism2022_english-17679,3. animosity
sexism2022_english-11284,2. derogation
sexism2022_english-9929,2. derogation
sexism2022_english-10229,2. derogation
sexism2022_english-6741,2. derogation
sexism2022_english-2915,3. animosity
sexism2022_english-4067,2. derogation
sexism2022_english-12264,2. derogation
sexism2022_english-15846,2. derogation
sexism2022_english-4494,"1. threats, plans to harm and incitement"
sexism2022_english-10623,3. animosity
sexism2022_english-8650,2. derogation
sexism2022_english-8427,3. animosity
sexism2022_english-2732,2. derogation
sexism2022_english-7005,3. animosity
sexism2022_english-7615,3. animosity
sexism2022_english-44,2. derogation
sexism2022_english-17346,"1. threats, plans to harm and incitement"
sexism2022_english-18636,2. derogation
sexism2022_english-14879,3. animosity
sexism2022_english-14061,2. derogation
sexism2022_english-14300,3. animosity
sexism2022_english-15046,4. prejudiced discussions
sexism2022_english-14409,2. derogation
sexism2022_english-11066,2. derogation
sexism2022_english-665,2. derogation
sexism2022_english-5599,3. animosity
sexism2022_english-16228,4. prejudiced discussions
sexism2022_english-1380,4. prejudiced discussions
sexism2022_english-194,3. animosity
sexism2022_english-5297,3. animosity
sexism2022_english-269,2. derogation
sexism2022_english-5354,2. derogation
sexism2022_english-638,3. animosity
sexism2022_english-15317,2. derogation
sexism2022_english-17052,"1. threats, plans to harm and incitement"
sexism2022_english-2476,4. prejudiced discussions
sexism2022_english-1313,2. derogation
sexism2022_english-19074,3. animosity
sexism2022_english-10748,2. derogation
sexism2022_english-5503,2. derogation
sexism2022_english-7314,2. derogation
sexism2022_english-12555,2. derogation
sexism2022_english-6629,2. derogation
sexism2022_english-14870,2. derogation
sexism2022_english-11346,3. animosity
sexism2022_english-17240,2. derogation
sexism2022_english-19891,2. derogation
sexism2022_english-17781,2. derogation
sexism2022_english-19554,2. derogation
sexism2022_english-8000,2. derogation
sexism2022_english-1398,2. derogation
sexism2022_english-7782,3. animosity
sexism2022_english-4813,"1. threats, plans to harm and incitement"
sexism2022_english-9427,2. derogation
sexism2022_english-11154,2. derogation
sexism2022_english-18577,2. derogation
sexism2022_english-8338,2. derogation
sexism2022_english-3962,2. derogation
sexism2022_english-6649,2. derogation
sexism2022_english-4006,2. derogation
sexism2022_english-16501,3. animosity
sexism2022_english-19616,3. animosity
sexism2022_english-2599,2. derogation
sexism2022_english-3702,2. derogation
sexism2022_english-6465,2. derogation
sexism2022_english-2862,2. derogation
sexism2022_english-18355,3. animosity
sexism2022_english-1914,3. animosity
sexism2022_english-12812,2. derogation
sexism2022_english-8672,2. derogation
sexism2022_english-3981,2. derogation
sexism2022_english-3310,2. derogation
sexism2022_english-9430,3. animosity
sexism2022_english-2761,2. derogation
sexism2022_english-23,3. animosity
sexism2022_english-13015,4. prejudiced discussions
sexism2022_english-3368,2. derogation
sexism2022_english-12423,2. derogation
sexism2022_english-17375,2. derogation
sexism2022_english-12169,3. animosity
sexism2022_english-5961,2. derogation
sexism2022_english-18784,2. derogation
sexism2022_english-2109,2. derogation
sexism2022_english-11301,3. animosity
sexism2022_english-8908,4. prejudiced discussions
sexism2022_english-9476,2. derogation
sexism2022_english-18024,"1. threats, plans to harm and incitement"
sexism2022_english-5649,2. derogation
sexism2022_english-9061,2. derogation
sexism2022_english-17956,2. derogation
sexism2022_english-17896,4. prejudiced discussions
sexism2022_english-19595,3. animosity
sexism2022_english-13694,2. derogation
sexism2022_english-12308,2. derogation
sexism2022_english-7161,3. animosity
sexism2022_english-17033,2. derogation
sexism2022_english-1763,4. prejudiced discussions
sexism2022_english-16875,4. prejudiced discussions
sexism2022_english-17796,2. derogation
sexism2022_english-15950,2. derogation
sexism2022_english-16997,2. derogation
sexism2022_english-6429,3. animosity
sexism2022_english-6418,2. derogation
sexism2022_english-14810,2. derogation
sexism2022_english-595,2. derogation
sexism2022_english-19343,2. derogation
sexism2022_english-2737,3. animosity
sexism2022_english-11843,"1. threats, plans to harm and incitement"
sexism2022_english-16821,2. derogation
sexism2022_english-19155,2. derogation
sexism2022_english-15245,3. animosity
sexism2022_english-10911,3. animosity
sexism2022_english-13582,2. derogation
sexism2022_english-14031,3. animosity
sexism2022_english-9946,2. derogation
sexism2022_english-14528,3. animosity
sexism2022_english-7938,2. derogation
sexism2022_english-10490,2. derogation
sexism2022_english-14428,2. derogation
sexism2022_english-318,2. derogation
sexism2022_english-13393,3. animosity
sexism2022_english-6255,2. derogation
sexism2022_english-5592,2. derogation
sexism2022_english-2876,2. derogation
sexism2022_english-1024,4. prejudiced discussions
sexism2022_english-2285,2. derogation
sexism2022_english-1844,3. animosity
sexism2022_english-10146,3. animosity
sexism2022_english-11872,3. animosity
sexism2022_english-504,2. derogation
sexism2022_english-19764,2. derogation
sexism2022_english-7968,2. derogation
sexism2022_english-1672,3. animosity
sexism2022_english-6450,3. animosity
sexism2022_english-3404,3. animosity
sexism2022_english-9041,3. animosity
sexism2022_english-17826,2. derogation
sexism2022_english-5121,2. derogation
sexism2022_english-9937,3. animosity
sexism2022_english-17288,2. derogation
sexism2022_english-9363,4. prejudiced discussions
sexism2022_english-2078,2. derogation
sexism2022_english-18011,2. derogation
sexism2022_english-4744,3. animosity
sexism2022_english-6401,2. derogation
sexism2022_english-8210,3. animosity
sexism2022_english-7317,3. animosity
sexism2022_english-3103,2. derogation
sexism2022_english-9511,3. animosity
sexism2022_english-13733,2. derogation
sexism2022_english-7704,2. derogation
sexism2022_english-2752,2. derogation
sexism2022_english-8462,3. animosity
sexism2022_english-7710,2. derogation
sexism2022_english-17075,3. animosity
sexism2022_english-14868,2. derogation
sexism2022_english-9984,2. derogation
sexism2022_english-14525,2. derogation
sexism2022_english-10969,2. derogation
sexism2022_english-10248,2. derogation
sexism2022_english-823,2. derogation
sexism2022_english-14269,2. derogation
sexism2022_english-12804,2. derogation
sexism2022_english-19239,4. prejudiced discussions
sexism2022_english-571,2. derogation
sexism2022_english-580,"1. threats, plans to harm and incitement"
sexism2022_english-2897,3. animosity
sexism2022_english-3586,2. derogation
sexism2022_english-15221,2. derogation
sexism2022_english-16740,2. derogation
sexism2022_english-14830,"1. threats, plans to harm and incitement"
sexism2022_english-12315,2. derogation
sexism2022_english-9152,3. animosity
sexism2022_english-19372,2. derogation
sexism2022_english-16129,3. animosity
sexism2022_english-19161,2. derogation
sexism2022_english-18231,2. derogation
sexism2022_english-863,3. animosity
sexism2022_english-7046,3. animosity
sexism2022_english-12218,2. derogation
sexism2022_english-11583,3. animosity
sexism2022_english-18386,2. derogation
sexism2022_english-12098,4. prejudiced discussions
sexism2022_english-14596,2. derogation
sexism2022_english-4981,2. derogation
sexism2022_english-4780,2. derogation
sexism2022_english-13364,2. derogation
sexism2022_english-11239,2. derogation
sexism2022_english-5341,3. animosity
sexism2022_english-18510,2. derogation
sexism2022_english-7072,3. animosity
sexism2022_english-15156,2. derogation
sexism2022_english-11296,"1. threats, plans to harm and incitement"
sexism2022_english-19953,2. derogation
sexism2022_english-19735,3. animosity
sexism2022_english-15665,2. derogation
sexism2022_english-9103,2. derogation
sexism2022_english-7708,2. derogation
sexism2022_english-15981,2. derogation
sexism2022_english-14204,3. animosity
sexism2022_english-735,2. derogation
sexism2022_english-17691,2. derogation
sexism2022_english-9199,2. derogation
sexism2022_english-9935,2. derogation
sexism2022_english-30,3. animosity
sexism2022_english-13597,2. derogation
sexism2022_english-12580,2. derogation
sexism2022_english-14519,2. derogation
sexism2022_english-17926,3. animosity
sexism2022_english-17170,2. derogation
sexism2022_english-18026,2. derogation
sexism2022_english-17641,2. derogation
sexism2022_english-14700,3. animosity
sexism2022_english-949,2. derogation
sexism2022_english-5453,2. derogation
sexism2022_english-5162,3. animosity
sexism2022_english-1381,2. derogation
sexism2022_english-3419,2. derogation
sexism2022_english-17059,2. derogation
sexism2022_english-14708,2. derogation
sexism2022_english-10304,2. derogation
sexism2022_english-5263,3. animosity
sexism2022_english-10934,2. derogation
sexism2022_english-12229,"1. threats, plans to harm and incitement"
sexism2022_english-5963,"1. threats, plans to harm and incitement"
sexism2022_english-7912,3. animosity
sexism2022_english-4829,2. derogation
sexism2022_english-10894,4. prejudiced discussions
sexism2022_english-11573,2. derogation
sexism2022_english-9440,3. animosity
sexism2022_english-5809,3. animosity
sexism2022_english-15829,2. derogation
sexism2022_english-4291,2. derogation
sexism2022_english-476,2. derogation
sexism2022_english-7226,2. derogation
sexism2022_english-1728,2. derogation
sexism2022_english-1917,2. derogation
sexism2022_english-3163,3. animosity
sexism2022_english-1395,2. derogation
sexism2022_english-18660,2. derogation
sexism2022_english-1814,2. derogation
sexism2022_english-18654,3. animosity
sexism2022_english-1588,2. derogation
sexism2022_english-13599,2. derogation
sexism2022_english-14770,3. animosity
sexism2022_english-427,2. derogation
sexism2022_english-16848,3. animosity
sexism2022_english-4108,2. derogation
sexism2022_english-11136,3. animosity
sexism2022_english-14051,2. derogation
sexism2022_english-415,2. derogation
sexism2022_english-13280,2. derogation
sexism2022_english-18187,2. derogation
sexism2022_english-12107,2. derogation
sexism2022_english-11613,3. animosity
sexism2022_english-17071,3. animosity
sexism2022_english-1904,2. derogation
sexism2022_english-7888,3. animosity
sexism2022_english-3788,4. prejudiced discussions
sexism2022_english-16835,3. animosity
sexism2022_english-10386,3. animosity
sexism2022_english-7455,"1. threats, plans to harm and incitement"
sexism2022_english-18481,2. derogation
sexism2022_english-7103,2. derogation
sexism2022_english-8409,2. derogation
sexism2022_english-19966,4. prejudiced discussions
sexism2022_english-1205,2. derogation
sexism2022_english-9648,4. prejudiced discussions
sexism2022_english-15305,2. derogation
sexism2022_english-17168,"1. threats, plans to harm and incitement"
sexism2022_english-16987,2. derogation
sexism2022_english-11192,2. derogation
sexism2022_english-1296,2. derogation
sexism2022_english-7440,2. derogation
sexism2022_english-783,2. derogation
sexism2022_english-17358,2. derogation
sexism2022_english-14871,3. animosity
sexism2022_english-10379,2. derogation
sexism2022_english-13702,2. derogation
sexism2022_english-10735,2. derogation
sexism2022_english-11579,2. derogation
sexism2022_english-4456,2. derogation
sexism2022_english-9044,"1. threats, plans to harm and incitement"
sexism2022_english-18705,"1. threats, plans to harm and incitement"
sexism2022_english-9850,2. derogation
sexism2022_english-15575,2. derogation
sexism2022_english-6439,3. animosity
sexism2022_english-17974,3. animosity
sexism2022_english-13793,2. derogation
sexism2022_english-5972,2. derogation
sexism2022_english-16735,2. derogation
sexism2022_english-9033,3. animosity
sexism2022_english-10581,2. derogation
sexism2022_english-2738,"1. threats, plans to harm and incitement"
sexism2022_english-8286,4. prejudiced discussions
sexism2022_english-2590,2. derogation
sexism2022_english-15781,2. derogation
sexism2022_english-16152,2. derogation
sexism2022_english-6204,3. animosity
sexism2022_english-14909,3. animosity
sexism2022_english-14270,2. derogation
sexism2022_english-18136,3. animosity
